X,Y,Afbeelding,Inventarisatiecode,Titel,Kunstenaar_s_,Toponiem,Wijk_Kern,Objecttype,Jaar,Omschrijving,Coordinaten,Latitude,Longitude,FID
484934.766431519,6802455.95132911,,,Echo,,Oude Kerkstraat,Binnenstad,Kunstwerk,2020,"Aan de achterzijde van de Oude Kerk pronkt het kunstwerk &lsquo;Echo&rsquo; van kunstenares Nynke Koster. Zij is in 2019 gestart met de realisatie ervan als onderdeel van het themajaar &lsquo;Delft &amp; en de Gouden Eeuw&rsquo;. Met het kunstwerk verbeeldt de kunstenares de vele en grote contrasten uit de &lsquo;Gouden&rsquo; Eeuw. &nbsp;&nbsp;&nbsp;&nbsp;Inwoners van Delft zijn nauw betrokken bij de totstandkoming van het kunstwerk. In workshops hebben zij afgietsels gemaakt van stukken ornament uit de Nieuwe Kerk; sommige hiervan zijn in het&nbsp; object verwerkt.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Inspiratie door contrasten Gouden Eeuw&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Voordat zij begon, heeft Nynke Koster uitgebreid onderzoek gedaan naar de rol van Delft in de 17e eeuw en zij raakte ge&iuml;nspireerd door de contrasten uit die tijd. Nynke vertelt: &ldquo;Delft is rijk geworden door de Gouden Eeuw maar naast deze welvaart heerste er veel armoede; vooral onder het grote aantal immigranten.&rdquo;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;De onderste schijf van het kunstwerk &ndash; met een diameter van maar liefst 6.5 meter &ndash; staat voor de zwarte bladzijde van de 17e eeuw. De schijf bestaat uit afgietsels van kenmerkende Delftse Gouden Eeuw-aspecten zoals van het graf van Maarten Tromp. Deze afgietsels zijn&nbsp;zwart geschilderd en&nbsp;opgevuld met transparante epoxy. Nynke: &ldquo;Wanneer het&nbsp;zonlicht&nbsp;op het werk valt kan je op sommige plekken&nbsp;&lsquo;onderwater&rsquo; kijken. Het zitgedeelte is ge&iuml;nspireerd op de zeeslagen uit de 17e eeuw die overwinningen, kracht en welvaart opleverde maar ook een belangrijk aandeel hadden in de slavernij en armoede.&rdquo;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&ldquo;Het is ook het verhaal van n&uacute;&rdquo;&nbsp;&nbsp;Nynke geeft aan dat zij ook de hedendaagse slavernij heeft belicht door het gebruik van het materiaal Mica. &ldquo;Mica glinstert, is flinterdun, licht en vind je in veel hedendaagse producten terug. In mica-mijnen werken kinderen en volwassenen in erbarmelijke en gevaarlijke omstandigheden meters onder de grond voor hooguit een euro per dag. Het goud dat je terug ziet in de onderwaterwereld van mijn kunstwerk is besmet. Het is niet wat het lijkt en geeft de hedendaagse slavernij weer.&rdquo;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Moment van verstilling&nbsp;&nbsp;Wat Nynke betreft is het dan ook echt een plek voor reflectie; zowel letterlijk als figuurlijk. &ldquo;Door de reflectie van de epoxy in het zwarte reli&euml;f in het onderste deel ziet men zichzelf. In combinatie met de kennis over de genoemde contrasten stemt dat hopelijk tot nadenken en kijkt men kritisch naar het verleden en de toekomst. En natuurlijk mogen mensen al zittend lekker van hun ijsje genieten, maar het kunstwerk heeft duidelijk meer lagen dan &lsquo;zomaar&rsquo; een bankje.&rdquo;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&lsquo;Puttertje van Fabritius&rsquo;&nbsp;&nbsp;Op een van de rugleuningen staat het wereldberoemde &lsquo;puttertje&rsquo; van schilder Carel Fabritius. Dit puttertje refereert aan de&nbsp;buskruitramp van Delft in 1654 waarbij Fabritius overleed.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Piet Hein&nbsp;&nbsp;De&nbsp;praalgraven&nbsp;in de Oude Kerk laten admiralen zien als grote zeehelden. Piet Hein was een van deze admiralen. Hij staat erom bekend dat hij zich op zijn vele expedities bekommerde om de zieke mensen. Hij probeerde hen te genezen met limoenen. Nynke Koster heeft deze limoenen in haar kunstwerk verwerkt. Piet Hein is het meest bekend door zijn verovering op de Zilvervloot in 1628 van de Spanjaarden in de Baai bij Cuba. Een heldendaad vol moed en lef; deze overwinning werd gevierd in het hele land. De veroverde buit opende de weg om in Brazili&euml; een kolonie te stichten waar land moest worden verbouwd. Het is het begin van de slavernij in Nederland. Zo kun je volgens kunstenares Nynke Koster het een niet zonder het ander bekijken. Het is een dualiteit vol contrasten.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Voor meer info over het kunstwerk en de kunstenaar ga je naar www.nynkekoster.com&nbsp;",,52.0128871468621,4.35624312486364,28
488250.820871416,6801956.71861435,,DEL-005,Een hond voor jou,,"Laantje van Levenslust, Op kinderbegraafplaats van Iepenhof.",Delftse Hout,Kunstwerk,2016,,,52.010126809632,4.38603174872696,29
482331.980422266,6801998.5766269,,29.01.88,Figuur in vijver,,"Hof van Zilverlicht, in vijver",Hof van Delft & Voordijkshoorn,Kunstwerk,1996,"Dit kunstwerk was een geschenk van projectontwikkelaar Proper-Stok Groep B.V. aan de gemeente. Het beeld is vermoedelijk in 1996 geplaatst.

&nbsp;",,52.0103582557934,4.33286190032959,30
485265.251382709,6802706.8134671,,11.54.84,Filmdraagster,,"Doelenplein, hoek Pluympot, trappartij filmhuis",Binnenstad,Kunstwerk,1996,"De nieuwbouw van filmhuis Lumen gaf aanleiding tot het plaatsen van twee nieuwe kunstwerken. Naast het Stalen Huis van Frans de Wit ging ook deze &lsquo;Filmdraagster&rsquo; van Marianne Neve onderdeel uitmaken van het filmhuis. Het is een stevige dame, bekeken op de rug, die filmrollen draagt, zelfs op haar hoofd. Het beeld is ge&iuml;ntegreerd in de entree van het filmhuis.
Bron: 
Gemeentelijk archief
&nbsp;",,52.0142741393155,4.35921192169189,31
485090.121145063,6801319.178289,,11.16.08,Fontein-niet meer aanwezig,,Stationsplein,Binnenstad,Kunstwerk,1970,"Het kunstwerk is verwijderd. Er is hierover geen overleg geweest met de kunstenaar. Later, in 1996, heeft er overleg plaatsgevonden met de dochter van de kunstenaar. Samen met de twee torso's, die verdwenen zijn, is er een financiele compensatie overeengekomen.",,52.0066015,4.3576387,32
484650.570401743,6803638.98684067,,26.02,Gaat zitten!,,"Vrijenbansekade, Op het wandelpad langs het water. De andere locaties zijn Aan het verlaat, de entree van het oude Joris, de MariaDuijstlaan en de Van Lodesteijnstraat.",Vrijenban,Kunstwerk,2004,,,52.0194276588576,4.3536901484913,33
485655.670859763,6801372.9910558,,DEL-002,Garden,,Hamtunnel,Binnenstad,Kunstwerk,2013,,,52.0068990709914,4.36271911952645,34
485835.543478451,6803031.74538492,,12.14.96,Gedenkteken Optische Industrie,,"Willem van Aelststraat, ter hoogte van no. 39",Vrijenban,Kunstwerk,1963,"Vanwege de bouw van een nieuw kantoor bood het personeel van de Optische Industrie, tegenwoordig Oldelft, dit gedenkteken aan de directie aan.
Bron: 
Archief Delft, dossier Commissie voor de Stadsverfraaiing
&nbsp;",,52.0160705924923,4.36433494275207,35
484958.308941001,6803372.0544789,,11.15.07,Gedenkteken voor 'Hen die vielen',,"Nieuwe Plantage, in plantsoen",Binnenstad,Oorlogsmonument,1950,"Om de Tweede Wereldoorlog te herdenken die net ge&euml;indigd was, maakte beeldhouwer en schilder Gradus van Eden dit beeld. Het is een vrouwfiguur die een toorts van vrijheid draagt in haar rechterhand en haar linkerhand troostend opheft. Bijzonder is de financiering van het beeld: het geld daarvoor is grotendeels verkregen uit een collecte huis-aan-huis.

Gradus van Eden maakte ook het Veulentje.

Bron:
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996.",,52.0179519842275,4.35645461082458,36
484739.746813248,6797349.05551574,,25.61.21,Geen titel,,"Veulenkamp 45, Gezondheidscentrum Tanthof",Tanthof,Kunstwerk,1986,"Vanwege de nieuwbouw van Gezondheidscentrum Tanthof werd er aan beeldend kunstenaars gevraagd een ontwerp in te zenden voor een kunstwerk. Ze kregen als opdracht mee dat het kunstwerk moest dienen als bewegwijzering en dat het kleurengamma van het gebouw erin moest terugkomen. Uiteindelijk werd gekozen voor dit werk van Simone Haak, medeoprichter van Galerie Terra in Delft. Simone Haak: &ldquo;Het kunstwerk dient als afscheiding, om bijvoorbeeld even een kinderwagen achter te zetten, maar is ook een speelmuur voor kinderen. Zij kunnen erop zitten, eroverheen lopen, en zich erachter verstoppen.&rdquo; De bal bovenop het kunstwerk is bij de restauratie in 1996 toegevoegd; de wegwijzers zijn toen verwijderd.
Bron:
Gemeentelijk archief
&nbsp;",,51.984642267058,4.35449123382568,37
484852.100007443,6802342.57089291,,11.6.03,Geertruyt van Oosten,,"Oude Delft, hoek Heilige Geestkerkhof",Binnenstad,Kunstwerk,1958,"Geertruyt van Oosten (&plusmn;1320-1358) was begijn in het Bagijnhof aan de Oude Delft. Het leiden van zo&rsquo;n vroom leven deed ze niet uit puur christelijke overwegingen: ze was even daarvoor verlaten door haar verloofde. Haar leven als begijn is, zo wordt gezegd, zeer bijzonder verlopen. Doordat ze zo opging in geestelijke overpeinzingen zou er tot veertig dagen na Kerstmis melk uit haar borsten zijn gekomen. Ook zou ze op Goede Vrijdag de stigmata hebben ontvangen: ze kreeg wonden die Christus ook had bij zijn kruisiging. Die bloedden zeven maal per dag tot veertig dagen na Pasen. Ook zou ze een visioen hebben gehad over waar de Nieuwe Kerk moest worden gebouwd. Tijdens haar leven werd ze als heilig beschouwd, hoewel dit vanuit Rome nooit erkend is. Het beeld, waarop foutief het geboortejaar 1330 is geschreven, staat bij de Oude Kerk waar ze indertijd is begraven. Arie Teeuwisse maakte ook Stalpaert van der Wiele.  Bronnen: A.H. Bredero, &lsquo;De Delftse begijn Geertrui van Oosten (ca. 1320 -1358) en haar niet-erkende heiligheid&rsquo;, in: D. de Beer, J, Marsilje (red.), De Nederlanden in de late middeleeuwen, Houten 1987. A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996. G. de Moor, &lsquo;Geertruida van Oosten, in: Delftse vrouwen van vroeger over Delftse vrouwen van nu, Delft 1996. WikiDelft (www.wikidelft.nl).",,52.0122602633087,4.35550051974133,38
482587.803707368,6798415.14577439,,25.12.66,Geografische plaatsbepaling,,"Van Rijslaan, hoek Tanthofkade, sledeheuvel",Buitenhof,Kunstwerk,1972,"Iets zichtbaar maken in het landschap wat normaal gesproken onzichtbaar maar toch altijd aanwezig is. Dat was het idee achter deze &lsquo;Geografische plaatsbepaling&rsquo;. Door middel van marmeren platen en balken is een rechthoek gevormd; op de platen zijn de breedte- en lengtegraden aangegeven. Kunstenaar Nelis Oosterwijk: &ldquo;Eigenlijk is de hele aarde op te delen in zulke rechthoeken.&rdquo;",,51.99054,4.33516,39
485308.24721112,6797979.66099909,,23.12.49,Gevelversiering - keramiek binnen-buiten -,,"Tanthof Oost, vier basisscholen",Tanthof,Kunstwerk,1980,-,,51.9881309423713,4.35959815979004,40
485486.202167597,6800922.48658808,,11.58.19,Gezicht op Delft,,"Plein Delftzicht, hoek Hooikade",Schieweg,Kunstwerk,1999,"Dit is een magisch punt. Hier schilderde Johannes Vermeer in 1660/1661 zijn wereldberoemde Gezicht op Delft. Het doek zelf hangt in het Mauritshuis in Den Haag. Ondanks allerlei veranderingen in de loop van de decennia kun je hier aan de Hooikade de torens van de Oude en de Nieuwe Kerk nog steeds terugvinden.
Op Vermeers doek staat eigenlijk maar weinig stad. Er is vooral water en lucht te zien met prachtig licht, reflecties en schaduwpartijen. Volgens Thomas Elshuis is Gezicht op Delft dan ook geen stadsgezicht, maar gaat het over licht en water. Elshuis kreeg in het Vermeerjaar van 1996 de opdracht om deze historische locatie met een kunstwerk te markeren.
In de tijd van Vermeer werden er enkele technische ontdekkingen gedaan die met waarneming en licht te maken hadden. Zo toonde de Engelse geleerde Isaac Newton aan dat wit licht bij breking uiteenvalt in alle kleuren van de regenboog (het prisma). Antoni van Leeuwenhoek, stadsgenoot van Vermeer, sleep lenzen en bouwde de eerste krachtige microscoop. Het is niet ondenkbaar dat dergelijke ontdekkingen Vermeer hebben be&iuml;nvloed. Hij maakte immers ook gebruik van de camera obscura (Latijn voor donkere kamer).
Dat alles brengt Elshuis samen in zijn Panorama. Opgeleid als architect maakte hij in de jaren negentig met een serie folly&rsquo;s (bouwsels zonder gebruiksfunctie) de overstap naar de beeldende kunst. Ook toen al had fotografie zijn aandacht. Panorama is een fotografisch werk dat inzoomt op Vermeers wolken en het zand op de oever van de Schie. Waterdruppels vergroten de zandkorrels uit en onderin het beeld prijken de kleuren van het prisma. Elshuis&rsquo; folly Panorama cre&euml;ert een intieme plek en geeft tegelijkertijd een weids zicht: op de stad zelf &eacute;n op de technische vernieuwingen die vroeger en nu in Delft het licht zien.
&nbsp;
&nbsp;
Sandra Spijkerman
17 maart 2017
&nbsp;
&nbsp;
This is a magical point. In the year 1660/1661 Johannes Vermeer painted here his world-famous View of Delft. You can find this painting at the Mauritshuis in The Hague. Despite all changes over the past decades, you can still find the towers of the old and the new Church, here at the Hooikade.
On Vermeer's canvas there is actually very little to see of the city itself. The main focus is the water and air with it&rsquo;s beautiful light, reflections and shadow. Therefore &lsquo;View of Delft&rsquo; isn&rsquo;t a cityview&rsquo; according to Thomas Elshuis, but it is about light and water. During the year of Vermeer in 1996, Elshuis got the job to mark this historic location with a work of art.
Some technical discoveries were made in the time of Vermeer that had to do with perception and light. Such as the discovery of the Prism by English scholar Isaac Newton, which showed that white light in refraction decomposes into all the colours of the Rainbow. Antoni van Leeuwenhoek, fellow townsman of Vermeer, grinded lenses and built the first powerful microscope. Such discoveries must have had influence over Vermeer. Because after all, he also used the camera obscura (Latin for dark room).
Elshuis brings it all together in his Panorama. Trained as an architect, he switched to Fine Arts in the nineties with a series of follies (buildings without any using function). Even then, photography had his attention. Panorama is a photographic work that focuses on Vermeer&rsquo;s clouds and the sand on the banks of the river Schie. Water droplets increase the grains of sand and at the bottom of the image the colors of the prism are adorned. Elshuis' folly Panorama creates an intimate place and at the same time it gives a panoramic view: on the city itself and on the technical innovations that see the light in Delft in past and present times.
&nbsp;
Sandra Spijkerman
March 17, 2017
&nbsp;
&nbsp;
 &nbsp;",,52.0044078341626,4.36119675636292,41
484756.307388021,6802079.73452245,,,Gezicht op Delft in 12 lichtbeelden,,"Phoenixstraat, parkeergarage Phoenix",Binnenstad,Kunstwerk,2001,"In de (destijds nieuwe) parkeergarage aan de Phoenixstraat wilde de gemeente een kunsttoepassing laten realiseren. Er werd gekozen voor het ontwerp van het kunstenaarsduo Zw&auml;ndel. Jolanda Muilenburg en Wilfried Nijhof ontwierpen een kunstwerk dat zou dienen als visitekaartje voor Delft. De &lsquo;lichtbeelden&rsquo; tonen bezoekers historische onderwerpen en bezienswaardigheden van de stad, waaronder Delfts blauw porselein. Elke verdieping heeft zijn eigen afbeelding, waardoor bezoekers zich gemakkelijk kunnen ori&euml;nteren.

Bron:
Gemeentelijk archief.",,52.010807,4.35464,42
484453.705121463,6803278.89685068,,11.39.25,Graf Lodewijk de XVII,,"Kalverbos, in plantsoen",Binnenstad,Monument,,"Hardstenen zerk met rondom hekwerk van smeedijzer gesteld op hardstenen banden. Naast dit graf liggen er nog drie andere onbeschermde hardstenen zerken. De kelder is gemetseld met ijsselsteen, diepte niet bekent.",,52.0174369720859,4.35192167758942,43
483876.247259339,6802049.93275528,,13.7.56,Groeistengels,,"Westplantsoen, rotonde Westplantsoen, Hof van Delftlaan, Colijnlaan en Adriaan Pauwstraat",Hof van Delft & Voordijkshoorn,Kunstwerk,1972,"De &lsquo;Groeistengels&rsquo; symboliseren, zoals de titel al zegt, groei. Maingay maakte meer werken van roestvast stalen buizen, nadat hij een periode plastieken cre&euml;erde met beton en metaal. Deze 5,60 meter hoge &lsquo;stengels&rsquo; zijn in eerste instantie aan de Menno ter Braaklaan geplaatst. Toen ze daar niet meer goed tot hun recht kwamen, zijn ze verplaatst naar de huidige locatie.",,52.0106422183994,4.34673428535461,44
485972.639129948,6801643.40249993,,DEL-004,Hank was Here,,"Nieuwelaan, OP gevel naast de Sint Sebastiaansbrug",Binnenstad,Kunstwerk,2016,"The art piece gets it's name from the enormous graffiti tag that once covered much of this highly visible wall along the Sebastiaansbrug. Over 200 participants were involved in creating the ceramic mosaic ""Kandinsky-circles"" in 5 different workshops. Students from the nearby Oostpoortschool were among these enthusiastic volunteers.&nbsp;The black and white Copacabana-style waves pay tribute to the 2016 Olympic games held in Rio de Janeiro. &nbsp;Funding for the project came from Fonds1818 and a private donation.
Urban art activist, Nan Deardorff-McClain, who moved to Delft in 2008 with her family from Miami, Florida, has a passion for covering vandalised walls with mosaics that involve the community. Other community-made mosaics she initiated can be seen by the Filmhuis Lumen (Delft Blue Bike) and next to the Plataan Hotel on the Doelenplein (A target near Plataan trees). All of these mosaics were inspired by the graffiti tags they now cover.&nbsp;
Nan wishes to thank all the people and local businesses that gave their time and services to this project to make Delft an even more beautiful place to live. To view a film about the process click here:
https://www.youtube.com/watch?v=cMXxSLUOIng&amp;t=74s
&nbsp;
&nbsp;",,52.0083943479396,4.36556649394333,45
483460.620918038,6800490.13964684,,25.26.91,Herdenkingsmonument kartuizerklooster,,"Aletta Jacobsstraat, hoek Westlandseweg",Hof van Delft & Voordijkshoorn,Monument,1969,"Bij graafwerkzaamheden in 1959, ten behoeve van woningbouw in de Krakeelpolder, werden brokken metselwerk, water- en afvalputten ontdekt in de grond. Onderzoek wees uit dat het ging om resten van het kartuizerklooster &lsquo;Sint Bartholomeus in Jeruzalem&rsquo;, dat hier van 1469 tot 1572 was gevestigd. Kartuizers zijn een soort monniken met een zeer streng regime. Ze leven vrijwel als kluizenaars en hebben bijna altijd zwijgplicht. Het klooster werd verwoest tijdens de Tachtigjarige Oorlog. Het monument werd aangeboden door de Koninklijke Nederlandse Maatschappij tot bevordering der Geneeskunst (KNMG) aan het (destijds nieuwe) gasthuis. De plattegrond op het monument is gebaseerd op opgravingen van het klooster.
Henk Tieman maakte ook De Waterdragers, Spelende kinderen en Zeeleeuw.
Bronnen:
Archief Theo Tieman
R. Rothfusz, A.J.H. Rozemond (red.), De Kartuizers en hun Delftse klooster, Delft 1975
H.H. Vos, &lsquo;Het Karthuizer Klooster&rsquo;. In: De stad Delft 1, Delft 1979
WikiDelft (www.wikidelft.nl)
&nbsp;",,52.0020168759226,4.34300065040588,46
485419.817593065,6802278.44752391,,11.56.86,Het Blauwe Hart,,"Oude Langendijk, keerlus van bussen",Binnenstad,Kunstwerk,1998,"Om de keerlus voor bussen op de Oude Langendijk te verfraaien, mocht Marcel Smink dit hart realiseren. De locatie moest echter overzichtelijk blijven. Het werk heeft een eigentijdse relatie met haar historische omgeving, aldus Marcel Smink op zijn website. &ldquo;Een relatie die harmonisch is zonder in pastiche te vervallen.&rdquo; Zo is de opvallende technische constructie van het beeld te verbinden aan de Technische Universiteit, het blauw aan het Delfts blauw, en het hart staat voor &lsquo;hartje stad&rsquo;. De plastische vorm van het hart sluit aan op die van de rotonde. &rsquo;s Avonds is het beeld van binnenuit verlicht. Het glas roept zo associaties met het glas in lood van de kerken, maar ook met de lichtreclames in de omgeving van het beeld.   Bron:  Gemeentelijk archief.",,52.0119057195477,4.3606004135836,47
484575.526635292,6798903.47414564,,24.10.98,Het Fabelmens,,"Willem de Mérodestraat, tegenover no. 7",Voorhof,Kunstwerk,1969,"Door de Commissie voor de Stadsverfraaiing, die zich hard maakte voor meer kunstwerken in de stad, werd het initiatief genomen tot het cre&euml;ren van een beeldenroute rond de jaren zeventig van de vorige eeuw. De beelden werden in eerste instantie gehuurd, zodat bewoners kennis konden maken met de werken en de geschiktheid van de beelden op de verschillende locaties kon worden bepaald. &lsquo;Het Fabelmens&rsquo; maakte onderdeel uit van de route en is blijven staan.
Andere beelden uit deze route zijn De Gokkers, ook van Van Halderen, Japanse dans van Toon Slegers, en Vogel en Waternimf van Godfried Pieters.
Bronnen:
Archief Delft, Secretarie-archief
Commissie voor de Stadsverfraaiing van de Culturele Gemeenschap Delft, 18 Delftse Beelden, Delft 1982
&nbsp;",,51.9932412289061,4.35301601886749,48
485526.610478501,6802361.05533792,,11.5.02,Het melkmeisje,,"Oude Langendijk, In de tuin van de Nieuwe Kerk.",Binnenstad,Kunstwerk,1976,"De beroemde schilder Johannes Vermeer woonde van zijn geboorte in 1632 tot zijn dood in 1675 in Delft. Dat maakte het opmerkelijk dat in Delft geen enkele &lsquo;Vermeer&rsquo; aanwezig was. De Vermeerstichting besloot daar iets aan te doen. Ze liet Wim T. Schippers, kunstenaar en bekend van diverse tv-typetjes, een beeld maken van &lsquo;Het melkmeisje&rsquo; om de driehonderdste sterfdag van Vermeer te herdenken. Schippers baseerde zich hiervoor op het gelijknamige schilderij van Vermeer, dat in het Amsterdamse Rijksmuseum hangt. Het beeld staat tegenwoordig naast de Nieuwe Kerk en daarvoor op de Binnenwatersloot, waar vroeger de Waterslootse Poort toegang gaf tot de stad. Daarvoor heeft het op de hoek Phoenixstraat/Schoolstraat en op de Sint Olofsstraat (De melkjongens) gestaan.

Bronnen:
Archief Delft, archief Openbare Werken
Gemeentelijk archief
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996
&nbsp;",,52.0123624649133,4.36155975039583,49
484722.728214337,6802308.04039651,,11.29.17,Hommage aan Gaudí,,Sint Agathaplein,Binnenstad,Kunstwerk,1988,"Marianne Burgers raakte voor deze bank ge&iuml;nspireerd in Park G&uuml;ell in Barcelona. In het park naar ontwerp van de Spaanse architect Antoni Gaud&iacute; (1852-1926) zag ze een meanderende bank, die haar prikkelde tot het cre&euml;ren van deze &lsquo;Hommage aan Gaud&iacute;&rsquo;. De bank heeft een Delfts tintje dankzij de Delfts blauwe scherven waarmee het is bekleed. Chris Dagradi is verantwoordelijk voor de beschildering van de bank. Marianne Burgers is zeer tevreden met de locatie: &ldquo;De bank blijkt daar goed te werken, er worden veel bruidsfoto&rsquo;s gemaakt. Bovendien is de locatie toepasselijk: het Delfts blauw is te verbinden aan Museum Het Prinsenhof.&rdquo;
Marianne Burgers maakte ook de Bladerachtige vorm.
Chris Dagradi maakte ook Monument Voorhof, O Sole Mio en Panelen skatepark De Middenberm.
Bron: A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996 &nbsp;",,52.0120693414986,4.35433835315052,50
484939.937634862,6802356.30562916,,11.51.73,Hoorn des overvloeds,,Heilige Geestkerkhof,Binnenstad,Kunstwerk,1994,"Heilige Geestkerkhof moet een nieuw gezicht krijgen, zo vond de gemeente begin jaren negentig van de vorige eeuw. Omgevingskunstenaar Bas Maters bracht met dit beeld de sfeer van het hof terug, waar zich vroeger de entree van de kerk bevond. Hier werd hulp geboden aan burgers die dat nodig hadden. De kom is als het ware een uitdrukking van opvang en bescherming, terwijl de hoorn is te verbinden aan roepen en horen, het stijgende en het dalende, met het aardse en het hemelse, aldus Maters. Behalve dit werk ontwierp Maters ook een pergola met verlichting en zitbanken voor het Heilige Geestkerkhof.
Bas Maters maakte ook Witte Zwanen, Zwarte Zwanen.
Bronnen:
Gemeentelijk archief
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996
&nbsp;",,52.0123362035111,4.35628957857364,51
485328.451457692,6802287.902622,,11.27.16,Hugo de Groot,,Markt,Binnenstad,Monument,1886,"Hugo Grotius, beter bekend als Hugo de Groot (1583-1645), is een van de bekendste figuren uit de Nederlandse historie. Hij ging studeren toen hij elf was, op zijn zestiende was hij al advocaat, later werd hij onder andere diplomaat en historicus. Toen hij om zijn afwijkende idee&euml;n werd gevangengenomen door Prins Maurits in Slot Loevestein, wist hij op een opmerkelijke wijze te ontsnappen: hij verstopte zich in een boekenkist. Het beeld geeft De Groot weer in zijn rol als rechtsgeleerde. Hij draagt een toga en heeft een wetboek in zijn hand. Het beeld &lsquo;Hugo de Groot&rsquo; werd oorspronkelijk geplaatst in het midden van de Markt, maar werd om praktische redenen, denk aan de Taptoe, in 1954 naast de toren van de Nieuwe Kerk neergezet. Veel Delftenaren vonden echter dat hij daar niet optimaal tot zijn recht kwam; daarom werd deze grote denker toch weer naar het midden verplaatst in 1977. Tijdens de herinrichting van de Markt in 2004 werd De Groot grondig gerestaureerd en dichter bij de Nieuwe Kerk geplaatst.
Bronnen:
Archief Delft:
-	archief Openbare Werken
-	Secretarie-archief
Gemeentelijk archief
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996
H. Nellen, Hugo de Groot &ndash; Een leven in strijd om de vrede 1583-1645, Amsterdam 2007
&nbsp;",,52.0119579977953,4.35977965762504,52
485387.072896539,6802076.20798375,,11.45.75,"Huisje, boompje, beestje",,"Brabantse Turfmarkt, hoek Burgwal",Binnenstad,Kunstwerk,1994,"Begin jaren negentig van de vorige eeuw werd de kruising Brabantse Turfmarkt / Burgwal en het gebied eromheen gerenoveerd. De gemeente wilde een beeld plaatsen op de ruime kruising dat zowel op kleine als grote afstand interessant is, associaties oproept en boeiend blijft. Dit beeld van de Delftse beeldhouwer Hans Kuyper past in die visie. Wie goed kijkt, ziet dat het bestaat uit een speelse compositie van vier elementen: een vogel, een boom, een boot en water. Kuyper heeft zich laten inspireren door de plek. Water staat bijvoorbeeld symbool voor de vroegere gracht in dit gebied, waar turfboten aanmeerden. Het gaat bij dit werk om het spel tussen de verschillende &lsquo;bouwstenen&rsquo;, die willekeurig bij elkaar lijken geplaatst.
Hans Kuyper maakte ook Marc groet &rsquo;s morgens de dingen en Zonnige dag.
Bronnen:
Gemeentelijk archief
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996
&nbsp;",,52.0107875008963,4.36030626296997,53
482518.29567871,6798192.55006616,,25.62.94,"Hun verzet, onze vrijheid",,"Van Rijslaan 8, Delftse Daltonschool",Buitenhof,Oorlogsmonument,1988,"Vanuit de A.M. de Jongschool, die hier voorheen gevestigd was, kwam het initiatief om een kunstwerk te laten ontwerpen waarin het verzet in de Tweede Wereldoorlog tot uiting komt. De buurt kent immers veel straten met namen van verzetshelden, maar er was nog geen beeld dat verwees naar het verzet. Er werd een opdracht uitgeschreven voor een realistisch beeld, die uiteindelijk werd toegekend aan beeldhouwster Sofie Hupkens. Het beeld geeft verzetsmensen weer, die weerloos zijn maar samen toch krachtig voor dat ene doel: een vrije toekomst. De twee grote figuren vormen een muur tegen geweld, het kind daarachter staat voor het nieuwe leven. Het beeld is een paar keer vernield, maar staat er nu in haar oorspronkelijke vorm.
Bronnen:
Gemeentelijk archief
WikiDelft (www.wikidelft.nl)
&nbsp;",,51.9893086392998,4.33453559875488,54
485796.900212805,6801889.23957887,,,Isthmus Landscape,,"Gasthuislaan, hoek Bastiaanpoort",Binnenstad,Kunstwerk,1980,"Het beeld is een kopie van het bronzen kunstwerk &ldquo;Isthmus Landscape&rsquo; en is gemaakt door de Britse kunstenaar Edward Barker uit Newton Flotman in Norfolk.
&ldquo;Isthmus&rdquo; betekent landengte of versmalling.&nbsp;
Edward Barker was lid van The Norwich Twenty Group' . Hij leefde van 1918 tot 1984.",,52.0097536942286,4.36398780439049,55
